2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-88] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-88 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-115] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-95 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-49] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-77] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-61 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-88] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-115] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-85] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-30 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-51] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-45 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-77] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-80] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-64 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-19] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-43 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-85] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-19] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-51] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-8] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-6 
2020-11-13 12:46:24,525 [pool-6-IoTDB-RPC-Client-thread-80] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-59] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-84 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-12] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-66 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-6] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-85 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-23] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-52 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-4] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-39 
2020-11-13 12:46:24,526 [pool-6-IoTDB-RPC-Client-thread-8] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-47] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-62 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-83] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-22 
2020-11-13 12:46:24,526 [pool-6-IoTDB-RPC-Client-thread-59] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,526 [pool-6-IoTDB-RPC-Client-thread-12] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-2] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-57 
2020-11-13 12:46:24,526 [pool-6-IoTDB-RPC-Client-thread-6] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,526 [pool-6-IoTDB-RPC-Client-thread-4] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,526 [pool-6-IoTDB-RPC-Client-thread-23] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-72] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-56 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-74] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-38 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-9] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-82 
2020-11-13 12:46:24,527 [pool-6-IoTDB-RPC-Client-thread-83] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-61] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-98 
2020-11-13 12:46:24,527 [pool-6-IoTDB-RPC-Client-thread-47] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-16] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-15 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-86] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-65 
2020-11-13 12:46:24,527 [pool-6-IoTDB-RPC-Client-thread-2] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-56] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-5 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-11] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-2 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-24] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-53 
2020-11-13 12:46:24,527 [pool-6-IoTDB-RPC-Client-thread-72] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-74] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-9] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-26] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-72 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-58] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-29 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-61] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-18] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-87 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-7] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-19 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-40] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-4 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-50] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-112 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-98] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-71 
2020-11-13 12:46:24,529 [pool-6-IoTDB-RPC-Client-thread-40] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
